userId,2,32,47,50,260,296,377,457,480,541,589,593,608,648,780,858,1036,1196,1210,1213,1219,1221,1240,1270,1391,2115,2571,2706,2762,2918,2959,3578,4993,5445,5952,7153
18,3.0,4.0,4.5,5.0,4.0,4.0,2.5,3.5,3.5,4.0,4.5,4.5,4.5,3.0,4.0,4.0,4.0,4.0,4.5,4.5,4.5,5.0,4.0,4.0,3.0,4.0,4.5,3.5,4.5,3.5,4.5,4.5,4.5,4.0,3.5,4.5
91,3.0,4.0,4.5,4.5,4.5,4.5,3.0,4.0,4.5,5.0,4.0,4.5,3.5,4.0,3.5,5.0,4.0,4.5,4.0,4.0,5.0,4.0,4.5,3.5,4.0,3.5,5.0,2.0,4.0,3.5,4.5,3.5,4.5,3.5,4.0,4.5
160,4.0,5.0,5.0,4.0,5.0,5.0,3.0,2.0,2.0,5.0,5.0,2.0,5.0,1.0,1.0,5.0,2.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,3.0,4.0,2.0,5.0,2.0,4.5,5.0,2.0,4.5,1.5,5.0
219,2.5,3.5,3.5,5.0,5.0,4.0,3.5,4.5,4.0,3.5,4.5,4.5,3.0,4.5,4.0,4.5,5.0,4.5,4.0,2.5,3.5,4.0,4.0,3.5,2.5,3.0,5.0,2.0,2.0,3.0,4.5,4.5,3.5,3.5,3.5,3.5
274,3.5,4.0,4.0,4.0,3.0,5.0,3.5,3.5,3.5,2.5,4.5,4.0,3.0,3.5,3.5,3.5,4.0,4.5,4.0,4.0,4.0,3.5,4.0,3.5,4.0,4.0,4.0,3.5,4.0,4.5,5.0,3.5,3.0,3.5,3.5,3.0
305,3.5,5.0,4.0,5.0,5.0,5.0,4.0,4.0,2.0,4.0,5.0,5.0,3.5,4.0,4.5,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.5,5.0,2.0,1.0,5.0,4.0,4.0,5.0,4.5,5.0,5.0,3.5,5.0,5.0
307,2.5,3.5,4.0,4.5,3.5,4.5,1.0,3.0,3.5,3.5,2.5,4.5,3.0,2.0,2.0,4.5,3.0,3.0,3.0,4.0,3.0,4.5,2.5,4.0,2.0,3.0,3.5,2.5,2.5,3.0,4.0,3.5,3.0,3.0,3.0,3.0
590,2.5,3.0,3.0,4.5,5.0,4.5,3.0,4.0,4.0,4.5,4.5,3.5,4.0,3.5,4.0,5.0,4.0,5.0,4.5,4.0,5.0,5.0,4.5,4.5,2.5,3.5,4.0,2.5,3.5,4.0,3.5,4.5,4.5,3.0,5.0,4.5
599,2.5,3.0,4.0,3.5,5.0,5.0,3.0,3.0,4.0,4.5,4.5,3.0,3.5,3.0,3.5,4.0,4.0,5.0,5.0,4.0,3.0,4.0,3.5,3.5,3.0,3.5,5.0,2.5,3.5,3.5,5.0,3.5,4.0,2.5,3.0,3.0
608,2.0,3.5,4.5,4.5,3.5,5.0,2.5,3.0,3.0,3.5,3.0,4.0,3.0,3.5,3.0,5.0,3.0,4.0,4.0,4.5,3.0,4.5,3.5,2.0,3.5,3.0,5.0,2.5,4.5,4.0,5.0,4.0,4.5,4.5,4.5,4.0
